state_id,hmm_confidence,atr_normalized,target_long_win,target_short_win
2,0.9999999999809006,0.0005913022564958937,1,0
2,0.9999281178704648,0.0005497714617708065,1,0
2,0.9999988822625591,0.0006494351805048362,1,0
2,0.9999990862938457,0.000757992967407685,1,0
2,0.9999992726991793,0.0008323190010779499,1,0
2,0.9999926258696129,0.0008658449002119515,1,0
2,0.9999125957002531,0.0008742505206085152,1,0
2,0.9998910796690124,0.0008905613752439874,1,0
2,0.9998650941263194,0.0008820004068013522,1,0
2,0.9998922409788309,0.0008819345623986116,1,0
2,0.9998262719912724,0.0008651954520129723,1,0
2,0.9992251784130138,0.0008068865753636963,1,0
1,1.0,0.0010042053035661319,0,0
1,0.5374789294682296,0.0010549660319894782,0,0
0,0.9898597529300106,0.0010801612398875975,0,0
0,0.9659359172386058,0.00106357550905559,0,0
0,0.9875607886076992,0.0009637909029975901,1,0
2,0.9999375812794742,0.0009298481278209557,0,1
2,0.9999647224196373,0.000855689624765853,0,1
2,0.9999977859485579,0.0008717626651658186,0,1
2,0.9999986241100858,0.0009302657949713822,0,1
2,0.999994929148794,0.0009562318772025673,0,1
2,0.9999594366969018,0.0009813002818053146,0,1
2,0.999997428378843,0.001040526698919299,0,1
2,0.9999743341806144,0.00105732083128481,0,1
2,0.9999984810340433,0.0011815387950425765,0,1
2,0.9999979531169659,0.001034444797150016,0,1
2,0.9999938275859177,0.0010176498942744752,0,1
2,0.9999937578162837,0.001026971390880926,0,1
2,0.9999568331299385,0.0010604827538238152,0,1
2,0.9999742182985091,0.001060679600602115,0,1
2,0.9999561960211358,0.0010021823005311457,0,1
2,0.9999790828183334,0.0009945425360499683,0,1
2,0.9999223034318803,0.0009274311450943252,0,1
2,0.9999188077356735,0.0008602926166434615,0,1
2,0.9946481887676062,0.0008101843288645289,0,1
0,0.995281662877477,0.0007936291399079323,0,1
0,0.9970459147380882,0.0007519374969324283,0,1
0,0.9951068966855047,0.0007183867866365104,0,1
0,0.9959568350698061,0.0006261387618533491,0,1
0,0.9915686084608687,0.0005670886560712529,0,1
2,0.9912595386100245,0.0005253465648699398,0,1
2,0.9998250619403899,0.0005170168107385522,0,1
2,0.999964358820187,0.0005249612779121611,0,1
2,0.9999032364474237,0.0005498612278970343,0,1
2,0.9999428852246869,0.0005746576124212521,0,1
2,0.999905593301333,0.000574866196421492,0,1
