Ticker,Entry_Bar,Exit_Bar,Position,Entry_Price,Exit_Price,Regime,Net_Return,Exit_Reason
EURUSD=X,2232,2234,LONG,1.188681697845459,1.187944197654724,Trend Breakout,-0.000820435388272389,SL
EURUSD=X,2256,2257,LONG,1.1961010898862565,1.1972116930144172,Trend Breakout,0.0007285194517014706,SL
EURUSD=X,2280,2283,SHORT,1.1946003437042236,1.1925464102200098,Mean Reversion,0.001519347809531757,TP
EURUSD=X,2352,2367,LONG,1.1809163093566895,1.1826309561729431,Mean Reversion,0.0012519630245328762,TP
EURUSD=X,2376,2385,LONG,1.1821727752685547,1.18354674748012,Mean Reversion,0.0009622431511784104,TP
EURUSD=X,2400,2406,LONG,1.1806375980377197,1.1818257655416216,Mean Reversion,0.0008063778299764792,TP
EURUSD=X,2424,2429,LONG,1.1806375980377197,1.177872623716082,Mean Reversion,-0.002541933143780395,SL
EURUSD=X,2472,2474,LONG,1.1911852359771729,1.191753327846527,Mean Reversion,0.0002769131216508793,SL
EURUSD=X,2520,2544,LONG,1.1889193058013916,1.1868027448654175,Mean Reversion,-0.001980239353206148,REGIME_SHIFT
EURUSD=X,2904,2917,SHORT,1.1607661247253418,1.1584776639938354,Mean Reversion,0.0017715088877596542,TP
EURUSD=X,2952,2962,LONG,1.1640088558197021,1.166516431740352,Mean Reversion,0.001954258456121383,TP
GBPUSD=X,1200,1207,LONG,1.310839295387268,1.3120310136250086,Mean Reversion,0.0007091261163240994,TP
GBPUSD=X,2280,2281,LONG,1.3797206146376473,1.3762781245367868,Trend Breakout,-0.0026950631775293442,SL
GBPUSD=X,2376,2379,LONG,1.3687660881451198,1.3684034415653774,Trend Breakout,-0.0004649441587451173,SL
GBPUSD=X,2400,2411,LONG,1.3664562702178955,1.3632200615746635,Mean Reversion,-0.002568322143756596,SL
GBPUSD=X,2424,2425,LONG,1.3527772426605225,1.3554076382092066,Mean Reversion,0.0017444410104880737,TP
GBPUSD=X,2472,2474,LONG,1.3667550086975098,1.3689698917525155,Mean Reversion,0.0014205413851868577,TP
GBPUSD=X,2784,2785,LONG,1.3464748859405518,1.3484867470605033,Mean Reversion,0.001294169063945172,TP
GBPUSD=X,3000,3006,LONG,1.3413456678390503,1.3369992801121302,Mean Reversion,-0.0034403189059553307,SL
USDJPY=X,1200,1204,SHORT,156.29299926757812,156.12642887660436,Mean Reversion,0.0008657572108433433,TP
USDJPY=X,1224,1239,SHORT,156.45199584960938,156.19449724469865,Mean Reversion,0.0014458633430169733,TP
